subj	cond	sex	age	handedness	"hand_order_first (dom=1, non-dom=2)"	"hand (dom=1, non-dom=2)"	trial	Catch	catch trial 1-20	targ_wt	outlier	lf_on_t	peak_VFR_t	lift_on_t	corr_resp_on_t	lf_on_VF	peak_VFR_VF	lift_on_VF	corr_resp_on_VF
eeo18e	hand_transfer	F	19	r	2	2	1	0		3	0	2.022	2.319	2.424		-0.029481	1.838155	2.934271	0.00675
eeo18e	hand_transfer	F	19	r	2	2	2	0		3	0	2.315	2.499	2.611		-0.019673	1.571384	3.01055	0.007798
eeo18e	hand_transfer	F	19	r	2	2	3	0		3	0	1.426	1.63	1.829		-0.081266	1.308198	3.01906	0.005679
eeo18e	hand_transfer	F	19	r	2	2	4	0		3	0	1.612	1.828	1.91		0.010339	2.033205	3.082217	0.007705
eeo18e	hand_transfer	F	19	r	2	2	5	0		3	0	1.18	1.511	1.584		-0.054955	2.237444	3.01217	0.008395
eeo18e	hand_transfer	F	19	r	2	2	6	1	1	9	0	1.43	1.687	2.481	1.848	-0.028214	2.292539	8.898256	3.698895
eeo18e	hand_transfer	F	19	r	2	2	7	0		3	0	1.378	1.579	1.704		0.016433	1.696134	3.007981	0.007679
eeo18e	hand_transfer	F	19	r	2	2	8	0		3	0	1.523	1.695	1.835		0.014704	1.339203	2.983137	0.007399
eeo18e	hand_transfer	F	19	r	2	2	9	0		3	0	1.435	1.702	1.919		-0.005305	1.426721	3.067202	0.00768
eeo18e	hand_transfer	F	19	r	2	2	10	1	2	9	0	1.681	1.874	2.655	2.125	-0.000692	1.474128	8.928224	3.683842
eeo18e	hand_transfer	F	19	r	2	2	11	0		3	0	1.896	2.167	2.187		-0.015987	2.761408	3.053172	0.010542
eeo18e	hand_transfer	F	19	r	2	2	12	0		3	0	1.542	1.805	1.913		-0.029037	1.780818	2.996311	0.012761
eeo18e	hand_transfer	F	19	r	2	2	13	0		3	0	2.023	2.299	2.335		-0.035789	2.572254	3.007872	0.01101
eeo18e	hand_transfer	F	19	r	2	2	14	0		3	0	1.587	1.914	1.993		-0.004053	2.316043	3.041808	0.014075
eeo18e	hand_transfer	F	19	r	2	2	15	0		3	0	1.423	1.622	1.768		0.022991	1.543462	3.04257	0.013095
eeo18e	hand_transfer	F	19	r	2	2	16	0		3	0	1.53	1.964	1.99		-0.042196	2.790491	3.035711	0.014864
eeo18e	hand_transfer	F	19	r	2	2	17	1	3	9	0	1.232	1.406	2.24	1.633	0.010816	1.266645	9.001914	3.273342
eeo18e	hand_transfer	F	19	r	2	2	18	0		3	0	1.336	1.585	1.675		-0.027734	2.080098	3.059992	-0.006907
eeo18e	hand_transfer	F	19	r	2	2	19	0		3	0	1.339	1.615	1.715		-0.00786	2.254148	3.052646	-0.005227
eeo18e	hand_transfer	F	19	r	2	2	20	0		3	0	1.174	1.398	1.553		0.038601	1.601527	2.995584	-0.005151
eeo18e	hand_transfer	F	19	r	2	2	21	0		3	0	1.372	1.554	1.572		0.035928	2.511306	2.887184	-0.005193
